timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/03/30 15:02:31.578, 91 %, 58 %, 65
2025/03/30 15:02:36.578, 100 %, 64 %, 65
2025/03/30 15:02:41.579, 96 %, 59 %, 66
2025/03/30 15:02:46.580, 96 %, 61 %, 65
2025/03/30 15:02:51.580, 91 %, 56 %, 65
2025/03/30 15:02:56.581, 96 %, 58 %, 66
2025/03/30 15:03:01.581, 96 %, 63 %, 66
2025/03/30 15:03:06.582, 96 %, 62 %, 66
2025/03/30 15:03:11.583, 99 %, 61 %, 66
2025/03/30 15:03:16.583, 100 %, 64 %, 66
2025/03/30 15:03:21.583, 99 %, 59 %, 65
2025/03/30 15:03:26.584, 96 %, 63 %, 65
2025/03/30 15:03:31.585, 100 %, 61 %, 65
2025/03/30 15:03:36.585, 98 %, 62 %, 65
2025/03/30 15:03:41.586, 100 %, 64 %, 65
2025/03/30 15:03:46.586, 97 %, 59 %, 64
2025/03/30 15:03:51.587, 96 %, 60 %, 65
2025/03/30 15:03:56.587, 96 %, 60 %, 65
2025/03/30 15:04:01.588, 99 %, 63 %, 65
2025/03/30 15:04:06.588, 96 %, 62 %, 66
2025/03/30 15:04:11.589, 91 %, 60 %, 66
2025/03/30 15:04:16.589, 99 %, 63 %, 65
2025/03/30 15:04:21.590, 95 %, 62 %, 65
2025/03/30 15:04:26.590, 96 %, 57 %, 65
2025/03/30 15:04:31.591, 91 %, 60 %, 65
2025/03/30 15:04:36.592, 95 %, 59 %, 65
2025/03/30 15:04:41.592, 96 %, 63 %, 65
2025/03/30 15:04:46.593, 100 %, 61 %, 64
2025/03/30 15:04:51.593, 92 %, 60 %, 65
2025/03/30 15:04:56.593, 95 %, 62 %, 66
2025/03/30 15:05:01.594, 100 %, 61 %, 66
2025/03/30 15:05:06.595, 96 %, 60 %, 65
2025/03/30 15:05:11.595, 99 %, 61 %, 65
2025/03/30 15:05:16.596, 100 %, 60 %, 66
